id,ticker,periodType,periodEnd,revenue,revenueSegments,revenueSegmentsByAxis
60d331af92d2412bae49771d870f6d7a,HWM,QUARTERLY,2019-06-30,3691000000.0000,"{""Forged Wheels"": 257000000.0, ""Engine Products"": 835000000.0, ""Fastening Systems"": 399000000.0, ""Engineered Structures"": 331000000.0}","{""product"": {""Aerospace"": 1283000000.0, ""Industrial and Other"": 215000000.0, ""Commercial Transportation"": 324000000.0}, ""segment"": {""Forged Wheels"": 257000000.0, ""Engine Products"": 835000000.0, ""Fastening Systems"": 399000000.0, ""Engineered Structures"": 331000000.0}}"
a67076d27b274073b53dd1ffdae0af3e,IBKR,ANNUAL,2024-12-31,5185000000.0000,"{""Others"": 36000000.0, ""Commissions"": 1697000000.0, ""FDIC Sweep Fees"": 28000000.0, ""Market Data Fees"": 71000000.0, ""Risk Exposure Fees"": 100000000.0, ""Payments For Order Flow"": 45000000.0}","{""product"": {""Others"": 36000000.0, ""Commissions"": 1697000000.0, ""FDIC Sweep Fees"": 28000000.0, ""Market Data Fees"": 71000000.0, ""Risk Exposure Fees"": 100000000.0, ""Payments For Order Flow"": 45000000.0}, ""geography"": {""International"": 1596000000.0, ""United States"": 3589000000.0}}"
7b16797b77304a50ad296a075c767cb7,IBKR,QUARTERLY,2024-03-31,1203000000.0000,"{""Others"": 7000000.0, ""Commissions"": 379000000.0, ""FDIC Sweep Fees"": 6000000.0, ""Market Data Fees"": 17000000.0, ""Risk Exposure Fees"": 19000000.0, ""Payments For Order Flow"": 10000000.0}","{""product"": {""Others"": 7000000.0, ""Commissions"": 379000000.0, ""FDIC Sweep Fees"": 6000000.0, ""Market Data Fees"": 17000000.0, ""Risk Exposure Fees"": 19000000.0, ""Payments For Order Flow"": 10000000.0}, ""geography"": {""International"": 375000000.0, ""United States"": 828000000.0}}"
b67fa5405671404ba52a5729b466a60e,MET,ANNUAL,2024-12-31,70986000000.0000,"{""ASO contracts"": 273000000.0, ""Prepaid legal plans"": 572000000.0, ""Vision fee for service arrangements"": 536000000.0, ""Recordkeeping and administrative services (2)"": 151000000.0, ""Institutional Client asset management fees (1)"": 301000000.0, ""Other revenue from service contracts from customers"": 412000000.0}","{""product"": {""ASO contracts"": 273000000.0, ""Prepaid legal plans"": 572000000.0, ""Vision fee for service arrangements"": 536000000.0, ""Recordkeeping and administrative services (2)"": 151000000.0, ""Institutional Client asset management fees (1)"": 301000000.0, ""Other revenue from service contracts from customers"": 412000000.0}, ""segment"": {""RIS"": 17076000000.0, ""Asia"": 11415000000.0, ""EMEA"": 2770000000.0, ""Latin America"": 7586000000.0, ""Group Benefits"": 26122000000.0, ""MetLife Holdings"": 7257000000.0}}"
af28b8e5e7084092bafd1d6030d6a7ee,IBKR,QUARTERLY,2025-03-31,1427000000.0000,"{""Others"": 10000000.0, ""Commissions"": 514000000.0, ""FDIC Sweep Fees"": 8000000.0, ""Market Data Fees"": 19000000.0, ""Risk Exposure Fees"": 28000000.0, ""Payments For Order Flow"": 13000000.0}","{""product"": {""Others"": 10000000.0, ""Commissions"": 514000000.0, ""FDIC Sweep Fees"": 8000000.0, ""Market Data Fees"": 19000000.0, ""Risk Exposure Fees"": 28000000.0, ""Payments For Order Flow"": 13000000.0}, ""geography"": {""International"": 437000000.0, ""United States"": 990000000.0}}"
46286522e8d64d3084a94de1ec2c7172,IBKR,ANNUAL,2019-12-31,1937000000.0000,"{""Others"": 32000000.0, ""Commissions"": 706000000.0, ""Market Data Fees"": 45000000.0, ""Risk Exposure Fees"": 16000000.0, ""Minimum Activity Fees"": 27000000.0, ""Payments For Order Flow"": 21000000.0}","{""product"": {""Others"": 32000000.0, ""Commissions"": 706000000.0, ""Market Data Fees"": 45000000.0, ""Risk Exposure Fees"": 16000000.0, ""Minimum Activity Fees"": 27000000.0, ""Payments For Order Flow"": 21000000.0}, ""geography"": {""International"": 413000000.0, ""United States"": 1524000000.0}}"
2622a092756a441a8cf7db149a240e67,IBKR,QUARTERLY,2026-03-31,1669000000.0000,"{""Others"": 14000000.0, ""Commissions"": 613000000.0, ""FDIC Sweep Fees"": 10000000.0, ""Market Data Fees"": 21000000.0, ""Risk Exposure Fees"": 26000000.0, ""Payments For Order Flow"": 15000000.0}","{""product"": {""Others"": 14000000.0, ""Commissions"": 613000000.0, ""FDIC Sweep Fees"": 10000000.0, ""Market Data Fees"": 21000000.0, ""Risk Exposure Fees"": 26000000.0, ""Payments For Order Flow"": 15000000.0}, ""geography"": {""International"": 528000000.0, ""United States"": 1141000000.0}}"
ab8d9f5540c14a6dac3c9c7137d74869,MET,QUARTERLY,2024-03-31,16057000000.0000,"{""Prepaid legal plans"": 148000000.0, ""Fee-based investment management"": 98000000.0, ""Vision fee for service arrangements"": 146000000.0, ""Administrative services-only contracts"": 67000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 80000000.0}","{""product"": {""Prepaid legal plans"": 148000000.0, ""Fee-based investment management"": 98000000.0, ""Vision fee for service arrangements"": 146000000.0, ""Administrative services-only contracts"": 67000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 80000000.0}}"
6479427d4b3c46feaec107a29f52b5bd,MET,QUARTERLY,2018-03-31,14805000000.0000,"{""Prepaid legal plans"": 73000000.0, ""Fee-based investment management"": 71000000.0, ""Administrative services-only contracts"": 56000000.0, ""Recordkeeping and administrative services"": 58000000.0, ""Other revenue from service contracts from customers"": 64000000.0}","{""product"": {""Prepaid legal plans"": 73000000.0, ""Fee-based investment management"": 71000000.0, ""Administrative services-only contracts"": 56000000.0, ""Recordkeeping and administrative services"": 58000000.0, ""Other revenue from service contracts from customers"": 64000000.0}}"
d0dfea44ae0d4756bc72cd5debad53e8,MET,QUARTERLY,2018-09-30,16289000000.0000,"{""Prepaid legal plans"": 74000000.0, ""Fee-based investment management"": 74000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 56000000.0, ""Other revenue from service contracts from customers"": 72000000.0}","{""product"": {""Prepaid legal plans"": 74000000.0, ""Fee-based investment management"": 74000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 56000000.0, ""Other revenue from service contracts from customers"": 72000000.0}, ""segment"": {""Asia"": 2959000000.0, ""EMEA"": 707000000.0, ""U.S."": 8676000000.0, ""Latin America"": 1267000000.0, ""MetLife Holdings"": 2680000000.0, ""Corporate & Other"": 111000000.0}}"
