id,totalDebt
63d99684fbe84878a1155c2fd9e5d4de,0.0000
f9234efc58bb4dcea151245fd8794007,2701000000.0000
c33192f2d0744a2ba503c1aa5f4a04dc,775802000.0000
4cf1a856331049f8b6ab28a8546dcf45,2948000000.0000
174db1d94884487bbd9c3c2632e3d598,
759a749f23284a67be74af910b1a477c,18445000000.0000
e809b8a6117a45d88b5fd753e0d7b022,18717076000.0000
a1d6115f75b54ca6943865db0df3452d,887831000.0000
c4b8c74773f04660a8480a525fbdef56,922777000.0000
d27e1720a66f434b8f9c749084417aa6,9908000000.0000
f30a17d30a5e46adaa0ec3a05b94b620,10617000000.0000
205523d2e476417c8cd06a8b114fde6f,2000000000.0000
5a1292d633b84e06bd08c890a304bb27,
d8050d3283d14414852772e807040df9,13826000000.0000
f1994bd759024883a2e891e71569c9b2,16844000000.0000
789ca909d6824a418e50e754ed3dd081,745471000.0000
c3bddb24003f4edf9b11193befbf383b,745843000.0000
945cef5c59be4cc4a639fa439ed29c7d,6248000000.0000
1611e1c22955443fa2ad61231743bbe4,44828000000.0000
2b218f57b5ba4293989d70b8eec94e1b,4352000000.0000
63f9a13c5f2c4483b00b49b13cfac7ef,408296000.0000
63960e74aa13488293b717dd4b07183a,74902000000.0000
44c9b1352f1e4e5a90096dd02cd5add6,50176000000.0000
7a05e303e34c408dba8edf0c22cd014c,16100000000.0000
9a1399b32599421cba957bcc119dcb79,16100000000.0000
3e4c810ac2f84ca4a3b1cf3b4b5d5874,16100000000.0000
22d5f318d64c49cf9568801a6b84b770,14261000000.0000
24228c7e38774f83aaaddcbdf9b6bd87,6641000000.0000
bac57f2c8b654ce3943c28facaa12a5e,52556000000.0000
de91d87e207a4b9d82c665efc5c1f39e,20785000000.0000
3ddb220d69154ee9ac2517b6465f2fc6,39586000000.0000
a09bb84e23d4431cbdfb2b05e52289c9,42265000000.0000
e78d900555f2487fa8ef9cd6e98580b7,38925000000.0000
ba6b53170e22417fbddb3a205476c9a6,
aba9ba28ec88407cb4c3649d7a7f0d48,1072667000.0000
1b2c34487e3842b397edb6bb078c4dd7,1307099000.0000
fb07390fd8fe4c878a05225692347fd6,0.0000
1c574e0da4eb4b3cb8c0d9fe3c5275be,0.0000
019e575e7c174dd19d1e257d1b936b76,41403000000.0000
85045ba73e0b4f74a3de94e802f89a1f,9645000000.0000
6faea71b7061441e9e1a7ed497ef6f03,19438000000.0000
6d89c5bfa9d64191acc2f5461817bf07,4357000000.0000
b816c5bd8ed2481b9b4cf8aaef13027a,13861000000.0000
4ea17b9c96cc488cbb04c0c0fd4c2f93,7290208000.0000
a1bafa80ab004e7a8592d0c9667a6fb9,9482200000.0000
f37cc47f36fe4f7099967226eebb5787,1315060000.0000
3c1edff7e5ab44558cd1b728ec7cae37,1314680000.0000
091702d90cae4da8a68d5eb3bc65b1f8,1307099000.0000
2906e41644b14435b3beb8feeb2c4967,22450000000.0000
7480ad55a9ad4d40bff299c04d5f5f74,24077548000.0000
c3f2ffa7f7c943aab7db6762c7b54c3e,619000000.0000
5d368057acf34623ad630ced20659272,6673303000.0000
2c1c1fcf26b14e79b773d52755c41409,6667955000.0000
680199948c174bb39adfdb3320239d75,512500000.0000
a083e5d9648f4f72bba1749a45e6607a,1135242000.0000
841adc0776f548979ad32981305dbca7,1920879000.0000
80a1ff75066d42919eb57e58e9746c3e,7421370000.0000
0a9513e9247c48c68c03af879dbd2892,7494000000.0000
a3b085f2478d41819b197f96327d80e4,7485000000.0000
aa03930823c340c4b9b750c080a276fd,7484000000.0000
00a437ec671941148afbb4fec6e6325e,0.0000
bf550ceb2bdd48fb968deb30bcd9fbeb,10437000000.0000
e236abc28e824db59b6ea8739bf8f503,3017832000.0000
2da533644bf44c4cb39bbf8925b507ef,3068300000.0000
296d94e8138749beaaf184311cea24f3,11349600000.0000
c672eea4415b4551b93c8e3020cb9088,2323000000.0000
5d67d175117b441fb838f0685c05f777,2602000000.0000
7d479c0992b14dac8b82844d59694510,0.0000
d446996790ba44328032cadbbfa01d9d,55950000000.0000
19a01c11cb93477ea827dff6c0ebc721,56044000000.0000
250f81bdd32541f88e9b348765bb5efc,9082000000.0000
4568123ce8d84ac2919f2a2b8c466bd2,8871000000.0000
4a6ccd126a2f4c25938484487dc816a8,10542300000.0000
c95007ea968a4761b951530dc834b575,10307000000.0000
b31d331e53db40eba59a903bc4dffbdb,
8a67e03b9cdc4f33b5cef61c2ce8f150,14520000000.0000
b4b8e4bd225b4eed9c324929ae9bca88,49035000000.0000
d5e53ec905614f489a797121d98b6758,56853000000.0000
ef17b7b3441242a2a560e83839a92e28,10085300000.0000
bb221f5159c846d7ba225152e6c67d37,9802600000.0000
ee74071401ac4deb8d54ced538edf46f,28985000000.0000
fca555b2481e4bc592477018aa01bb9b,9036000000.0000
ede633ac6bd344b6b9de12cbf54332a4,25401688000.0000
fbdd6434ff3341c1b871e36e1166b16a,9054000000.0000
062d84175bc448b8a925caceab5a987c,1992851000.0000
a3368808d4fb43beb8f48127444a0980,2773000000.0000
fe12a7696c324ddfb300a9656ea4aaf4,5581000000.0000
a406fd3fa0da4ac9b3c891c52fa33900,6571000000.0000
23603da209864ac1a07bbe8b1cabc9c4,103000000.0000
7c63090f373a4784b9d4942a43840ed1,21791251000.0000
380916cdfb4d45a88a690cb3ce1dc87a,1283275000.0000
2318d71405b94a49856c630c9ecb66e9,1299376000.0000
34f744f130b44a3fbd0d928ebd4d887b,15985387000.0000
140c7fce1b944cf4bd25f9fb8b4d81cd,1305589000.0000
baacb7f6687841098541dd731b367417,1283275000.0000
5e8e9b47be8e4298bdbf8e3cee87c9b6,2391288000.0000
c54a5d5357904dbe8719a47010488135,10439000000.0000
9aa6d62c40dc48908afac1d71c741b65,2602000000.0000
b5dadcbdf08141d4a53f6f9525e64fee,2602000000.0000
dc5c0fbb0e474cf082aee9a115cca144,1322275000.0000
e5876dee91ce4431b5365e01248f19df,32531000000.0000
ff194c715d4d4c72953cbf2fafba776a,6422000000.0000
194a4a34432549ea8dac622373ddadf8,6002877000.0000
27782417762a4c55af8a5539eea51d85,8713000000.0000
eb17ff97018c41bba8d79b003de4e55a,8716000000.0000
654d5131a8c745b6bb21514d1624e6ff,8702000000.0000
13f203bb26fd4e4780a976e094267ea1,18015274000.0000
793f4dae53d44d86a06285898c9d3f4b,24800000.0000
c8fcccb6d2254473bde1a302fee47518,9180000000.0000
baddeee3f3324f0489aa063402b4b144,1292758000.0000
7652648026f34ac59109da816c0f9f5e,9228000000.0000
79e551b86ff9443985b39bf851f79428,9204000000.0000
0c2ef7414fb74633a42b3952873bae0f,9306000000.0000
9a201e80e3af4727b893f4d16d723f45,3087718000.0000
0cc2574008c5402ba521beb8275d9c29,3881600000.0000
7ecf770488334654a29a8db9c99c1199,9207000000.0000
2cb9aa96ff114eec809294463c57310d,1664200000.0000
951503ce85604cc081b636cdde2faa52,5730738000.0000
e5eba1b69e5a4fc9bd140bed77098b37,9580500000.0000
359eb80c0e4a40ca936a4b67e8ad9c1d,9482200000.0000
eae2e0be80b949c7830dce8f8bc8adcb,3005690000.0000
c4a29929d98b45c987b5927b191be866,1140217000.0000
e6ad92419c134e0fa739bc149ad0cb8c,10616000000.0000
50e2841bbf8d4783a33049ee0f45a3c5,8962513000.0000
8c113dcf85d849dbb6807ccf064a49a2,5814000000.0000
3c224b9a453443d8800f278185f99e36,
db342a5742034b2b913c06d0760b283c,26064000000.0000
41867c5301184f5aafaa1b4ea7f7668f,37056000000.0000
7d630008c11d43db8a94486b8e6aa40f,
78a32b04d90b420b91fb48d4ce3a241b,6921000000.0000
9565156f6265454aaac0523559551aaa,9326300000.0000
a27db08a322f424aba8fdc40cf17c448,1292864000.0000
1e99aeb5b6764db9b3808b3f0cf3a928,714502000.0000
8c62aa29f04f433fa8933301dcf39a5c,6963000000.0000
1d3db1e7e52b46a09377509caef2e669,6464000000.0000
0b4beffcf3694ad5b4b63bef8918a0fb,12338000000.0000
559237ef11314bf1a0b6861db9e19863,6564000000.0000
573c29ae442c4aedbf6dcc30a39e37c2,29019000000.0000
013acf8c9dc1472281d8a4ed68ccf91c,20245000000.0000
7b74066dfda44bc2960c8243d71db110,18358000000.0000
9742d2a6da3d47d491e6aa69bab24668,7057000000.0000
bed1817d6c0e4fccb73e108d8d28e12f,12586000000.0000
cd973e5185cd483db3ee048f521dc361,8331000000.0000
f22fdc94f978433aa19855243685eec4,7758000000.0000
1a85de4f46534b6aab45cd5098dc6b8e,6225000000.0000
caea14ee323147f1a980b5aad6af3e12,2045527000.0000
e011795b2f5b417a8637007ab9e5b015,2041637000.0000
ba8aeb5793424eedac750f065b439dfe,5733119000.0000
8fc515f3c57d46abb656b64451e9885f,1768200000.0000
3afbe93ed92f46df97320ba453d8b86a,200000000.0000
65c582bcedc14e4d849d9d80297fa1e6,843000000.0000
25728ac3d32748f39a03b92570100936,48445000000.0000
f3f3b28c0abf4e9faa03098c1f0416db,318702000000.0000
9229c06dfbc04a309ce120b1c11ef967,2389168000.0000
8f1dabbb87ae42f7b24707eb8f2ae1e2,39474000000.0000
c56a92e7357640948ec609e6b553787c,2672668000.0000
357b8cda23544421878118c9aba3e835,20831000000.0000
368d3f3e42434b11ad68bbdc0e868d48,8153000000.0000
ea3c2ed7fd00439db8b425dfa64a4527,1203100000.0000
513b9ca98f434a9590dd3910663d4915,2390218000.0000
c1fe11f89fdc487cb8a1cc32fc0ee93f,1889000000.0000
386208c19fa34b7c824226d073c93cf9,9636000000.0000
5dc8adef16c840aa982831bc86de8786,9233600000.0000
9699d520086c4ccd99aa25ca51cd00f9,
bebc8f15951d40b9ac7e1f69ff110c85,3412000000.0000
d016f0ad0a35455b9387542e9fd58e6b,9510696000.0000
16b9486367eb46c09ce24a1836206046,44429000000.0000
d7f4012355354cee81ffc67727a9c78a,16624197000.0000
978f02bbea304497b4760016bb2b4f20,13436000000.0000
9adfca4ddefe4e31b09f5ce08190ec7f,1495256000.0000
7d5d1d7836d54b998cdb1ee839358fee,10732139000.0000
73b93a05536f42aea1d687690cb9f64c,748624000.0000
d5c4e18b68064680bbbdce524fb2483b,8172847000.0000
9ce4007f76cd49cc9d7a1d689fb4d25d,1799000000.0000
