id,minorityInterest
f787e0de6803471f8039890743baae62,
a3fff91b74ea482580e4887467851c96,
39e14964c14745e894a7fe480046e316,
f96ba1a80bba4c639fd54ab0d79176af,
f9af89e7dde94344948285a9dca90459,
48fe72968c7b4f04954b02c660636cff,
2a54d787fa874d72a423ddaac24cda54,
925d97d8ab324e4ba75f3f05ad8cf1e1,
6229d58e230f4c0fbb183a73cd720cb4,
6f2454a9ed6944188bf10652c4386e83,
5bd8973fb4e94f3a81701d9ab2fa7cee,
0d4f51966ba149ebac903eb18f5ccb1a,
f5b20b577ce34ea082c6699a91e7e864,0.0000
253ad15640314eae8c0e10a17ecda4ea,
0ec7288c340d4ec892e22cbff05b1bbc,
f23e8514d5734b399411d9faec704e66,
dfad63aff84f4b0382f1359bd405bbe4,
3314cc17da6247f68fe366d0fede3bb7,
ac4229b3d82c4613b72385ab4c54e098,281500000.0000
4f4cb4c6eeba4145898119368ee7c68e,
fa2f0f805e7b495f8b6e8c43ed82679f,
b8f87da6e6fb4d78a124ac616ce582ef,
c782c54fd19d48caba5446c801b2cb43,
4694313b434b4824a3b10678df54dada,
d6fc7c9b424f4695b7b878a700dcf45b,
5d317be4429f405ab38d014d95b502ba,
2f58beb1a18f47f1a5d7bf37607f07e3,
c187672832cb4fad9184db8fa9b0ce93,
e19ff459d33d4a27901c73a7d293f0d6,2329549000.0000
892f671a7ad944b1b3cbe7c21e600f8e,
c3ebbbe1e65f4696bc81dca0e1a35515,
69edb71af2f44b40be4bdcc5f45b0796,
82919cce87dd423d957c6dad189b177a,
8a4188f9d23d4e1cb845b4a8e1687ed1,
58213415e5bf41de811f8ec309cf2b15,
0c7119d14f594c73bf278a0480d54f12,
298c17ee43354dd4b9f79ca3fb0f82bb,
3a3161daf871429aa708053e22111474,
9f8513f5a6ce422290208d8aceef9ccf,
4f8daa70673141e7a821fc3b42080101,
827d1d6336784373be1fdab05eb89aca,
4e1e1995cf724312aee252e858774a14,
482f57d30391437fbc05eb8299d1e52f,
2ea1de5237c64f33aef37c18bc0689db,
63d99684fbe84878a1155c2fd9e5d4de,
f9234efc58bb4dcea151245fd8794007,
c33192f2d0744a2ba503c1aa5f4a04dc,728639000.0000
4cf1a856331049f8b6ab28a8546dcf45,226000000.0000
174db1d94884487bbd9c3c2632e3d598,
759a749f23284a67be74af910b1a477c,
e809b8a6117a45d88b5fd753e0d7b022,66710000.0000
a1d6115f75b54ca6943865db0df3452d,
c4b8c74773f04660a8480a525fbdef56,
d27e1720a66f434b8f9c749084417aa6,
f30a17d30a5e46adaa0ec3a05b94b620,
205523d2e476417c8cd06a8b114fde6f,
5a1292d633b84e06bd08c890a304bb27,
d8050d3283d14414852772e807040df9,
f1994bd759024883a2e891e71569c9b2,
789ca909d6824a418e50e754ed3dd081,
c3bddb24003f4edf9b11193befbf383b,
945cef5c59be4cc4a639fa439ed29c7d,
1611e1c22955443fa2ad61231743bbe4,
2b218f57b5ba4293989d70b8eec94e1b,
63f9a13c5f2c4483b00b49b13cfac7ef,
63960e74aa13488293b717dd4b07183a,1521000000.0000
44c9b1352f1e4e5a90096dd02cd5add6,
7a05e303e34c408dba8edf0c22cd014c,
9a1399b32599421cba957bcc119dcb79,
3e4c810ac2f84ca4a3b1cf3b4b5d5874,
22d5f318d64c49cf9568801a6b84b770,
24228c7e38774f83aaaddcbdf9b6bd87,
bac57f2c8b654ce3943c28facaa12a5e,
de91d87e207a4b9d82c665efc5c1f39e,
3ddb220d69154ee9ac2517b6465f2fc6,
a09bb84e23d4431cbdfb2b05e52289c9,
e78d900555f2487fa8ef9cd6e98580b7,
ba6b53170e22417fbddb3a205476c9a6,157100000.0000
aba9ba28ec88407cb4c3649d7a7f0d48,
1b2c34487e3842b397edb6bb078c4dd7,
fb07390fd8fe4c878a05225692347fd6,
1c574e0da4eb4b3cb8c0d9fe3c5275be,
019e575e7c174dd19d1e257d1b936b76,
85045ba73e0b4f74a3de94e802f89a1f,
6faea71b7061441e9e1a7ed497ef6f03,
6d89c5bfa9d64191acc2f5461817bf07,
b816c5bd8ed2481b9b4cf8aaef13027a,
4ea17b9c96cc488cbb04c0c0fd4c2f93,
a1bafa80ab004e7a8592d0c9667a6fb9,
f37cc47f36fe4f7099967226eebb5787,
3c1edff7e5ab44558cd1b728ec7cae37,
091702d90cae4da8a68d5eb3bc65b1f8,
2906e41644b14435b3beb8feeb2c4967,
7480ad55a9ad4d40bff299c04d5f5f74,57372000.0000
c3f2ffa7f7c943aab7db6762c7b54c3e,
5d368057acf34623ad630ced20659272,
2c1c1fcf26b14e79b773d52755c41409,
680199948c174bb39adfdb3320239d75,
a083e5d9648f4f72bba1749a45e6607a,531066000.0000
841adc0776f548979ad32981305dbca7,
80a1ff75066d42919eb57e58e9746c3e,
a3b085f2478d41819b197f96327d80e4,
aa03930823c340c4b9b750c080a276fd,
00a437ec671941148afbb4fec6e6325e,
bf550ceb2bdd48fb968deb30bcd9fbeb,
e236abc28e824db59b6ea8739bf8f503,
2da533644bf44c4cb39bbf8925b507ef,
296d94e8138749beaaf184311cea24f3,
c672eea4415b4551b93c8e3020cb9088,
5d67d175117b441fb838f0685c05f777,
0a9513e9247c48c68c03af879dbd2892,
7d479c0992b14dac8b82844d59694510,
d446996790ba44328032cadbbfa01d9d,
19a01c11cb93477ea827dff6c0ebc721,
250f81bdd32541f88e9b348765bb5efc,
